0alias	0alias is deprecated. use '0install add' instead.0alias is deprecated. use '0install add' instead. 
0desktop	0desktop can be used to create launchers for zero install applications in desktop environments supporting the freedesktop.org menu specification (e.g. gnome and kde). if the uri of a zero install application is given, this application is added. without a uri, a dialog box is displayed prompting the user to specify what to add. on success, a launcher is added to the user's menu which, when invoked, runs the application using the command "0launch uri".add. on success, a launcher is added
0install	zero install is a decentralised cross-distribution software installation system. programs and libraries are identified by uris, and there is no need for a central repository. zero install ensures that packages cannot conflict with each other and that programs can be shared between mutually untrusting users. see the web-site for more information: http://0install.net/ the simplest case is to ask 0install to run a program, given its uri. for example: 0install run http://rox.sourceforge.net/2005/interfaces/edit the first time you do this, details about available
0launch	0launch runs the given program. program is either a url in the form 'http://site/program.xml' or a local path name like '/path/to/program.xml'. if the program is not already on your computer, 0launch downloads information about which versions are available, and lets you choose one to download. it will also (automatically) do the same for any libraries the program needs. note that much of the functionality that was originally in 0launch has now moved to 0install(1). 0launch program args is roughly equivalent
0store	0store provides access to the low-level implementation cache. normally, the cache is updated automatically using 0launch(1).0store provides access to the low-level implementation cache. normally, the cache is updated automatically using 0launch(1). 
0store-secure-add	this command imports the current directory into the system-wide shared zero install cache, as /var/cache/0install.net/implementations/digest. this allows a program downloaded by one user to be shared with other users. the current directory must contain a file called '.manifest' listing all the files to be added (in the format required by digest), and this file must have the given digest. if not, the import is refused. therefore, it is only possible to add a directory to the cache if its name
3ddesk	3d desktop is an opengl program for switching virtual desktops in a seamless 3-dimensional manner. the default "visualization" maps your screen onto an n-sided "carousel" which is rotated to select the next screen. when activated the current desktop appears to zoom out so as to make your desktop appear to be actually in a 3d environment with your other desktops.appears to zoom out so as to make your desktop appear to be actually in a 3d environment with your other
3ddeskd	this is the server for 3ddesk. 3ddeskd runs at all times to reduce load time and maintain a persistent state. in order for 3ddesk to work the server needs to be running in the background before you can go 3d. just run "3ddeskd" to start it. give the --acquire option to acquire cached versions of all your desktops. it will cycle thru all your desktops/workspaces. 3ddesk activates the server and gives you a fullscreen. you only need to start 3ddeskd
3ds2m	3ds2m is a tool to convert meshes of a 3ds file into a m-file.3ds2m is a tool to convert meshes of a 3ds file into a m-file. 
3dsdump	3dsdump is a tool that is used to display information about the internal structure of a 3ds file.3dsdump is a tool that is used to display information about the internal structure of a 3ds file. 
411toppm	this program is part of netpbm(1). 411toppm reads a .411 file, such as from a sony mavic camera, and converts it to a ppm image as output. output is to standard output. the originator of this program and decipherer of the .411 format, steve allen <sla@alumni.caltech.edu>, has this to say about the utility of this program: 'there's so little image in a 64x48 thumbnail (especially when you have the full size jpg file) that the only point in doing this
